yearend,locationabbr,sample_size,classid,questionid,stratificationid1,data_value
2013,22,7537.0,0,1,OVERALL,17.7
2013,22,7383.0,2,5,OVERALL,20.5
2013,22,7384.0,2,6,OVERALL,35.5
2013,22,7650.0,2,7,OVERALL,29.6
2013,22,7724.0,2,8,OVERALL,23.3
2014,22,8705.0,1,2,OVERALL,28.2
2014,22,8705.0,1,3,OVERALL,36.3
2014,22,9118.0,2,8,OVERALL,19.7
2011,21,9450.0,1,2,OVERALL,28.3
2011,21,9450.0,1,3,OVERALL,36.1
2011,21,9461.0,0,0,OVERALL,36.4
2011,21,9291.0,0,1,OVERALL,22.8
2011,21,9307.0,2,4,OVERALL,48.7
2011,21,9239.0,2,5,OVERALL,19.8
2011,21,9251.0,2,6,OVERALL,28.8
2011,21,9604.0,2,7,OVERALL,30.2
2011,21,9684.0,2,8,OVERALL,26.2
2012,21,11947.0,1,2,OVERALL,27.6
2012,21,11947.0,1,3,OVERALL,36.2
2012,21,12798.0,2,8,OVERALL,23.1
2013,21,12169.0,1,2,OVERALL,28.3
2013,21,12169.0,1,3,OVERALL,35.9
2013,21,11909.0,0,0,OVERALL,35.9
2013,21,11646.0,0,1,OVERALL,22.0
2013,21,11194.0,2,4,OVERALL,48.6
2013,21,11115.0,2,5,OVERALL,21.6
2013,21,11087.0,2,6,OVERALL,28.3
2013,21,12146.0,2,7,OVERALL,32.0
2013,21,12261.0,2,8,OVERALL,25.3
2014,21,11713.0,1,2,OVERALL,29.6
2014,21,11713.0,1,3,OVERALL,35.3
2014,21,12556.0,2,8,OVERALL,21.4
2011,23,10772.0,2,8,OVERALL,23.6
2013,20,13883.0,1,2,OVERALL,23.6
2013,20,13883.0,1,3,OVERALL,34.4
2013,20,13492.0,0,0,OVERALL,32.8
2013,20,13236.0,0,1,OVERALL,20.1
2013,20,13034.0,2,5,OVERALL,23.5
2013,20,13067.0,2,6,OVERALL,35.0
2013,20,13340.0,2,7,OVERALL,32.6
2013,20,13532.0,2,8,OVERALL,23.5
2014,20,14394.0,1,2,OVERALL,23.3
2014,20,14394.0,1,3,OVERALL,35.6
2014,20,15632.0,2,8,OVERALL,20.1
2011,23,10579.0,1,2,OVERALL,31.3
2011,23,10579.0,1,3,OVERALL,34.2
2011,23,10589.0,0,0,OVERALL,37.3
2011,23,10480.0,0,1,OVERALL,23.2
2011,23,10375.0,2,5,OVERALL,19.7
2011,23,10384.0,2,6,OVERALL,33.6
2011,23,10670.0,2,7,OVERALL,28.8
2012,23,10052.0,1,2,OVERALL,31.1
2012,23,10052.0,1,3,OVERALL,34.6
2012,23,10490.0,2,8,OVERALL,23.3
2013,23,12177.0,1,2,OVERALL,31.5
2013,23,12177.0,1,3,OVERALL,34.7
2013,23,12047.0,0,0,OVERALL,37.7
2013,23,11869.0,0,1,OVERALL,24.8
2013,23,11732.0,2,5,OVERALL,19.5
2013,23,11754.0,2,6,OVERALL,33.9
2013,23,12068.0,2,7,OVERALL,28.8
2013,23,12214.0,2,8,OVERALL,24.4
2014,23,8024.0,1,2,OVERALL,30.7
2014,23,8024.0,1,3,OVERALL,34.9
2014,23,8455.0,2,8,OVERALL,25.5
2011,24,14387.0,1,2,OVERALL,25.7
2011,24,14387.0,1,3,OVERALL,36.8
2011,24,14391.0,0,0,OVERALL,36.2
2011,24,14219.0,0,1,OVERALL,23.6
2011,24,14017.0,2,5,OVERALL,20.9
2011,24,14091.0,2,6,OVERALL,33.7
2011,24,14443.0,2,7,OVERALL,29.6
2011,24,14639.0,2,8,OVERALL,21.9
2013,24,13450.0,1,2,OVERALL,25.5
2012,24,11429.0,1,2,OVERALL,25.7
2012,24,11429.0,1,3,OVERALL,37.3
2012,24,12226.0,2,8,OVERALL,17.6
2013,24,13450.0,1,3,OVERALL,35.6
2013,24,13187.0,0,0,OVERALL,38.2
2013,24,12985.0,0,1,OVERALL,23.6
2013,24,12782.0,2,5,OVERALL,21.2
2013,24,12816.0,2,6,OVERALL,30.6
2013,26,7032.0,1,2,OVERALL,35.1
2013,24,13168.0,2,7,OVERALL,31.2
2013,24,13323.0,2,8,OVERALL,23.5
2014,24,15309.0,1,2,OVERALL,27.6
