yearend,locationabbr,sample_size,race/ethnicity,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2013,AK,581.0,American Indian/Alaska Native,FV,Q018,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,49.3
2013,AK,177.0,2 or more races,FV,Q018,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,43.0
2013,AK,125.0,Hispanic,PA,Q046,Race/Ethnicity,Hispanic,RACE,RACEHIS,31.0
2013,AK,124.0,Hispanic,FV,Q019,Race/Ethnicity,Hispanic,RACE,RACEHIS,20.1
2013,AK,83.0,Asian,FV,Q019,Race/Ethnicity,Asian,RACE,RACEASN,28.3
2013,AK,61.0,Non-Hispanic Black,FV,Q019,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,27.7
2013,AK,173.0,2 or more races,FV,Q019,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,25.5
2013,AK,3069.0,Non-Hispanic White,FV,Q019,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,15.2
2013,AK,572.0,American Indian/Alaska Native,FV,Q019,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,30.7
2013,AK,3028.0,Non-Hispanic White,PA,Q043,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,58.1
2013,AK,59.0,Non-Hispanic Black,PA,Q043,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,44.5
2013,AK,123.0,Hispanic,PA,Q043,Race/Ethnicity,Hispanic,RACE,RACEHIS,54.0
2013,AK,82.0,Asian,PA,Q043,Race/Ethnicity,Asian,RACE,RACEASN,48.4
2013,AK,552.0,American Indian/Alaska Native,PA,Q043,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,49.2
2013,AK,172.0,2 or more races,PA,Q043,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,51.2
2013,AK,3000.0,Non-Hispanic White,PA,Q044,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,25.8
2013,AK,58.0,Non-Hispanic Black,PA,Q044,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,30.6
2013,AK,123.0,Hispanic,PA,Q044,Race/Ethnicity,Hispanic,RACE,RACEHIS,20.5
2013,AK,80.0,Asian,PA,Q044,Race/Ethnicity,Asian,RACE,RACEASN,28.7
2013,AK,541.0,American Indian/Alaska Native,PA,Q044,Race/Ethnicity,American Indian/Alaska Native,RACE,RACENAA,18.4
2013,AK,168.0,2 or more races,PA,Q044,Race/Ethnicity,2 or more races,RACE,RACE2PLUS,29.4
2013,AK,3014.0,Non-Hispanic White,PA,Q045,Race/Ethnicity,Non-Hispanic White,RACE,RACEWHT,37.8
2013,AK,59.0,Non-Hispanic Black,PA,Q045,Race/Ethnicity,Non-Hispanic Black,RACE,RACEBLK,27.5
2013,AK,122.0,Hispanic,PA,Q045,Race/Ethnicity,Hispanic,RACE,RACEHIS,38.7
