yearend,locationabbr,sample_size,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,total,data_value
2014,DE,3983.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.8
2014,DE,4293.0,PA,Q047,Total,Total,OVR,OVERALL,Total,24.9
2011,DC,4368.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,23.7
2011,DC,4368.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,29.1
2011,DC,4285.0,FV,Q018,Total,Total,OVR,OVERALL,Total,31.7
2013,DC,4705.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,30.9
2011,DC,4236.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.1
2011,DC,4174.0,PA,Q043,Total,Total,OVR,OVERALL,Total,57.6
2011,DC,4117.0,PA,Q044,Total,Total,OVR,OVERALL,Total,26.3
2011,DC,4152.0,PA,Q045,Total,Total,OVR,OVERALL,Total,34.4
2011,DC,4276.0,PA,Q046,Total,Total,OVR,OVERALL,Total,36.1
2011,DC,4356.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.8
2012,DC,3644.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.9
2012,DC,3644.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,30.0
2012,DC,3817.0,PA,Q047,Total,Total,OVR,OVERALL,Total,17.4
2013,DC,4705.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,22.9
2013,DC,4377.0,FV,Q018,Total,Total,OVR,OVERALL,Total,34.8
2013,DC,4283.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.9
2013,DC,4239.0,PA,Q043,Total,Total,OVR,OVERALL,Total,57.7
2013,DC,4198.0,PA,Q044,Total,Total,OVR,OVERALL,Total,25.6
2013,DC,4208.0,PA,Q045,Total,Total,OVR,OVERALL,Total,35.3
2013,DC,4358.0,PA,Q046,Total,Total,OVR,OVERALL,Total,35.1
2013,DC,4429.0,PA,Q047,Total,Total,OVR,OVERALL,Total,19.5
2014,DC,3787.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,21.7
2014,DC,3787.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,33.2
2014,DC,4059.0,PA,Q047,Total,Total,OVR,OVERALL,Total,20.8
2011,FL,11770.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.6
2011,FL,11770.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.7
2011,FL,11418.0,FV,Q018,Total,Total,OVR,OVERALL,Total,37.7
2011,FL,11219.0,FV,Q019,Total,Total,OVR,OVERALL,Total,22.6
2011,FL,11100.0,PA,Q043,Total,Total,OVR,OVERALL,Total,52.8
2011,FL,10962.0,PA,Q044,Total,Total,OVR,OVERALL,Total,21.4
2012,FL,7282.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,25.2
2011,FL,10998.0,PA,Q045,Total,Total,OVR,OVERALL,Total,33.7
2011,FL,11377.0,PA,Q046,Total,Total,OVR,OVERALL,Total,29.2
2011,FL,11564.0,PA,Q047,Total,Total,OVR,OVERALL,Total,26.9
2012,FL,7282.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.9
2012,FL,7613.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.3
2013,FL,32552.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.4
2013,FL,32552.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.4
2013,FL,30971.0,FV,Q018,Total,Total,OVR,OVERALL,Total,38.0
2013,FL,30309.0,FV,Q019,Total,Total,OVR,OVERALL,Total,20.8
2013,FL,29055.0,PA,Q043,Total,Total,OVR,OVERALL,Total,50.2
2013,FL,28649.0,PA,Q044,Total,Total,OVR,OVERALL,Total,19.9
2013,FL,30967.0,PA,Q046,Total,Total,OVR,OVERALL,Total,29.6
2013,FL,28197.0,PA,Q045,Total,Total,OVR,OVERALL,Total,31.4
2013,FL,31527.0,PA,Q047,Total,Total,OVR,OVERALL,Total,27.7
2014,FL,9156.0,OWS,Q036,Total,Total,OVR,OVERALL,Total,26.2
2014,FL,9156.0,OWS,Q037,Total,Total,OVR,OVERALL,Total,36.0
2014,FL,9796.0,PA,Q047,Total,Total,OVR,OVERALL,Total,23.7
