yearend,locationabbr,sample_size,education,classid,questionid,stratificationcategory1,stratification1,stratificationcategoryid1,stratificationid1,data_value
2011,AK,1125.0,College graduate,PA,Q045,Education,College graduate,EDU,EDUCOGRAD,43.3
2011,AK,947.0,High school graduate,PA,Q046,Education,High school graduate,EDU,EDUHSGRAD,25.9
2011,AK,956.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,36.0
2011,AK,1151.0,College graduate,PA,Q046,Education,College graduate,EDU,EDUCOGRAD,41.8
2011,AK,232.0,Less than high school,PA,Q046,Education,Less than high school,EDU,EDUHS,28.8
2011,AK,241.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,33.2
2011,AK,964.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,26.9
2011,AK,974.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,21.2
2011,AK,1160.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,12.5
2012,AK,287.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,23.3
2012,AK,1175.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,25.8
2012,AK,1250.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,26.9
2012,AK,1376.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,24.9
2012,AK,287.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,35.1
2012,AK,1175.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,41.1
2012,AK,1250.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,40.4
2012,AK,1376.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,36.2
2012,AK,300.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,30.0
2012,AK,1247.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,26.0
2012,AK,1318.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,14.4
2012,AK,1459.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,10.9
2013,AK,260.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,28.2
2013,AK,1272.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,33.1
2013,AK,1286.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,29.6
2013,AK,1571.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,21.2
2013,AK,260.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,39.1
2013,AK,1272.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,35.5
2013,AK,1286.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,38.3
2013,AK,1571.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,38.8
2013,AK,1563.0,College graduate,FV,Q018,Education,College graduate,EDU,EDUCOGRAD,26.1
2013,AK,241.0,Less than high school,FV,Q018,Education,Less than high school,EDU,EDUHS,57.2
2013,AK,1183.0,High school graduate,FV,Q018,Education,High school graduate,EDU,EDUHSGRAD,48.3
2013,AK,1257.0,Some college or technical school,FV,Q018,Education,Some college or technical school,EDU,EDUCOTEC,38.1
2013,AK,1241.0,Some college or technical school,FV,Q019,Education,Some college or technical school,EDU,EDUCOTEC,18.5
2013,AK,1543.0,College graduate,FV,Q019,Education,College graduate,EDU,EDUCOGRAD,7.5
2013,AK,1166.0,High school graduate,FV,Q019,Education,High school graduate,EDU,EDUHSGRAD,27.4
2013,AK,240.0,Less than high school,FV,Q019,Education,Less than high school,EDU,EDUHS,28.4
2013,AK,227.0,Less than high school,PA,Q043,Education,Less than high school,EDU,EDUHS,43.7
2013,AK,1152.0,High school graduate,PA,Q043,Education,High school graduate,EDU,EDUHSGRAD,50.8
2013,AK,1217.0,Some college or technical school,PA,Q043,Education,Some college or technical school,EDU,EDUCOTEC,53.2
2013,AK,1524.0,College graduate,PA,Q043,Education,College graduate,EDU,EDUCOGRAD,68.0
2013,AK,224.0,Less than high school,PA,Q044,Education,Less than high school,EDU,EDUHS,16.6
2013,AK,1129.0,High school graduate,PA,Q044,Education,High school graduate,EDU,EDUHSGRAD,19.6
2013,AK,1202.0,Some college or technical school,PA,Q044,Education,Some college or technical school,EDU,EDUCOTEC,25.9
2013,AK,1517.0,College graduate,PA,Q044,Education,College graduate,EDU,EDUCOGRAD,33.1
2013,AK,227.0,Less than high school,PA,Q045,Education,Less than high school,EDU,EDUHS,30.2
2013,AK,1145.0,High school graduate,PA,Q045,Education,High school graduate,EDU,EDUHSGRAD,33.8
2013,AK,1212.0,Some college or technical school,PA,Q045,Education,Some college or technical school,EDU,EDUCOTEC,34.5
2013,AK,1513.0,College graduate,PA,Q045,Education,College graduate,EDU,EDUCOGRAD,44.8
2013,AK,1245.0,Some college or technical school,PA,Q046,Education,Some college or technical school,EDU,EDUCOTEC,36.9
2013,AK,1557.0,College graduate,PA,Q046,Education,College graduate,EDU,EDUCOGRAD,42.5
2013,AK,1159.0,High school graduate,PA,Q046,Education,High school graduate,EDU,EDUHSGRAD,30.4
2013,AK,238.0,Less than high school,PA,Q046,Education,Less than high school,EDU,EDUHS,31.2
2013,AK,245.0,Less than high school,PA,Q047,Education,Less than high school,EDU,EDUHS,34.9
2013,AK,1190.0,High school graduate,PA,Q047,Education,High school graduate,EDU,EDUHSGRAD,26.9
2013,AK,1266.0,Some college or technical school,PA,Q047,Education,Some college or technical school,EDU,EDUCOTEC,22.6
2013,AK,1566.0,College graduate,PA,Q047,Education,College graduate,EDU,EDUCOGRAD,11.9
2014,AK,218.0,Less than high school,OWS,Q036,Education,Less than high school,EDU,EDUHS,32.8
2014,AK,1060.0,High school graduate,OWS,Q036,Education,High school graduate,EDU,EDUHSGRAD,28.3
2014,AK,1217.0,Some college or technical school,OWS,Q036,Education,Some college or technical school,EDU,EDUCOTEC,34.0
2014,AK,1628.0,College graduate,OWS,Q036,Education,College graduate,EDU,EDUCOGRAD,23.4
2014,AK,218.0,Less than high school,OWS,Q037,Education,Less than high school,EDU,EDUHS,36.3
2014,AK,1060.0,High school graduate,OWS,Q037,Education,High school graduate,EDU,EDUHSGRAD,34.8
2014,AK,1217.0,Some college or technical school,OWS,Q037,Education,Some college or technical school,EDU,EDUCOTEC,34.4
2014,AK,1628.0,College graduate,OWS,Q037,Education,College graduate,EDU,EDUCOGRAD,36.4
